,1,3,5,7,9,11,13,15,17,19,21,23,25,27
2,0.4105,0.36,0.359,0.343,0.34,0.373,0.3755,0.3855,0.403,0.355,0.23,0.31,0.287,0.333
3,0.552,0.481,0.47,0.459,0.464,0.511,0.51,0.517,0.5455,0.4815,0.3935,0.412,0.3935,0.443
4,0.6585,0.595,0.5895,0.563,0.5825,0.6455,0.6495,0.663,0.688,0.608,0.557,0.514,0.5,0.553
5,0.765,0.709,0.709,0.667,0.701,0.78,0.789,0.809,0.8285,0.7515,0.6675,0.6385,0.6255,0.668
6,0.788,0.8215,0.814,0.782,0.81,0.915,0.97,0.959,0.969,0.895,0.778,0.763,0.751,0.783
7,0.811,0.934,0.919,0.897,0.919,1.05,1.0915,1.0845,1.073,1.0195,0.9165,0.8555,0.8705,0.9085
8,1,1.0485,1.0245,1.021,1.033,1.1375,1.213,1.21,1.177,1.144,1.055,0.948,0.99,1.034
9,1.189,1.163,1.13,1.145,1.147,1.225,1.211,1.208,1.2045,1.23,1.2005,1.0665,1.185,1.168
10,1.308,1.282,1.262,1.2675,1.2485,1.295,1.211,1.2085,1.232,1.316,1.346,1.185,1.38,1.302
11,1.427,1.401,1.394,1.39,1.35,1.365,1.215,1.209,1.299,1.4105,1.452,1.3585,1.498,1.426
12,1.5385,1.527,1.5215,1.5295,1.4845,1.4665,1.3205,1.3175,1.366,1.505,1.558,1.532,1.616,1.55
13,1.65,1.653,1.649,1.669,1.619,1.568,1.426,1.426,1.505,1.6285,1.6705,1.7045,1.735,1.6855
14,1.768,1.791,1.784,1.789,1.7485,1.7075,1.603,1.597,1.644,1.752,1.783,1.877,1.854,1.821
15,1.886,1.929,1.919,1.909,1.878,1.847,1.78,1.768,1.7995,1.8755,1.9135,1.99,1.972,1.9345
16,2.021,2.0555,2.052,2.0375,2.0225,1.9835,1.9355,1.9345,1.955,1.999,2.044,2.103,2.09,2.048
17,2.156,2.182,2.185,2.166,2.167,2.12,2.091,2.101,2.114,2.149,2.1895,2.2145,2.2055,2.167
