,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,333,321,303,297,274,267,248,226,212,209,228,197,191,182,212,226,222,180,153,140,166,170,171,191,297,186,201,228
2,459,415,413,393,388,402,371,348,317,319,325,306,293,296,295,308,319,250,244,229,247,247,257,275,420,290,322,359
3,584,528,522,508,511,512,470,447,435,435,434,413,397,401,382,434,407,330,339,321,328,329,351,369,540,418,464,467
4,668,645,631,623,622,622,597,578,556,556,548,533,507,494,490,544,511,430,435,415,423,432,450,467,645,525,571,586
5,775,744,748,720,744,747,707,694,667,690,657,663,600,651,605,634,618,527,539,413,514,525,540,568,753,626,682,692
6,890,854,856,850,861,861,844,803,782,800,766,763,722,752,707,734,715,643,644,618,622,642,669,781,849,729,802,796
7,990,959,966,955,953,964,958,918,900,907,881,875,813,866,815,842,828,758,749,777,730,754,789,828,936,861,980,917
8,1091,1070,1069,1056,1085,1075,1066,1033,1031,1033,1003,994,938,1008,936,948,964,888,866,900,848,889,944,942,1111,1014,1086,1032
9,1187,1171,1182,1172,1197,1190,1182,1170,1169,1178,1124,1148,1073,1132,1035,1065,1075,1013,980,1004,1010,1051,1081,1066,1266,1186,1239,1141
10,1290,1282,1290,1286,1299,1313,1313,1288,1302,1296,1265,1289,1207,1279,1175,1194,1189,1167,1117,1133,1148,1162,1202,1183,1370,1317,1333,1261
11,1397,1395,1401,1402,1426,1420,1417,1406,1433,1437,1393,1448,1347,1464,1311,1316,1310,1338,1261,1184,1311,1312,1323,1340,1512,1461,1442,1400
12,1506,1533,1530,1520,1544,1550,1545,1552,1556,1573,1530,1588,1519,1593,1451,1452,1436,1510,1403,1472,1440,1459,1468,1491,1602,1603,1556,1513
13,1632,1638,1648,1644,1683,1685,1667,1685,1698,1681,1667,1716,1666,1711,1604,1584,1610,1648,1553,1589,1599,1581,1610,1624,1719,1732,1691,1626
14,1755,1758,1783,1775,1824,1800,1804,1812,1821,1811,1807,1825,1781,1852,1768,1740,1771,1796,1755,1765,1735,1756,1721,1761,1851,1863,1821,1783
15,1871,1882,1909,1909,1939,1932,1931,1930,1945,1949,1941,1956,1913,1995,1953,1896,1917,1962,1928,1941,1897,1901,1867,1940,1975,1982,1955,1895
16,2003,2022,2036,2042,2082,2068,2052,2060,2078,2073,2069,2091,2033,2106,2084,2036,2050,2101,2066,2082,2049,2047,2037,2062,2106,2122,2076,2016
17,2140,2163,2178,2181,2194,2184,2168,2194,2221,2191,2191,2194,2176,2217,2226,2158,2184,2214,2198,2208,2186,2192,2199,2209,2216,2231,2198,2157
18,2276,2309,2308,2322,2333,2319,2317,2325,2331,2324,2330,2330,2325,2334,2337,2286,2303,2335,2344,2340,2314,2336,2338,2327,2337,2344,2318,2302
