Bx,By,Bz,Btotal
2.18,5.7,0.02,6.1
2.24,5.5,-0.13,5.94
2.2,5.87,0.0,6.26
2.03,5.71,0.1,6.06
2.01,5.38,0.33,5.75
2.01,5.34,0.23,5.71
2.37,5.54,0.41,6.04
2.46,5.69,0.27,6.2
2.32,5.61,0.22,6.07
2.52,5.11,0.47,5.72
1.98,5.77,0.18,6.1
2.11,5.63,0.26,6.02
2.03,5.67,0.18,6.02
1.84,5.6,0.46,5.91
2.06,5.35,-0.0,5.74
2.07,5.24,0.17,5.64
2.07,5.28,0.84,5.73
2.12,5.53,0.5,5.95
2.06,5.53,0.1,5.9
2.0,5.5,0.16,5.85
1.89,5.39,0.13,5.71
1.82,5.3,-0.07,5.6
1.91,5.35,0.19,5.68
2.22,5.7,0.09,6.12
2.02,5.52,0.27,5.88
1.94,5.66,0.12,5.98
1.99,5.28,0.26,5.65
2.06,5.31,0.25,5.7
2.31,5.67,0.39,6.13
2.16,5.5,0.36,5.92
2.24,5.24,0.33,5.71
2.25,5.34,0.04,5.79
1.78,5.14,0.37,5.45
2.21,5.46,0.31,5.9
2.12,5.4,0.63,5.83
2.49,5.56,0.13,6.09
2.27,5.46,-0.02,5.92
2.33,5.43,0.5,5.93
2.18,5.4,0.43,5.84
2.59,5.43,-0.13,6.02
2.42,5.37,0.81,5.95
2.06,5.58,0.64,5.99
2.13,5.56,0.23,5.96
2.0,5.44,0.42,5.81
2.4,5.29,0.08,5.81
2.36,5.66,0.05,6.13
2.56,5.58,0.33,6.15
2.37,5.36,0.36,5.87
2.14,5.46,0.6,5.9
1.96,5.38,0.47,5.75
2.28,5.6,0.26,6.05
2.16,5.53,0.06,5.94
2.42,5.38,0.96,5.97
2.57,5.46,0.24,6.04
2.34,5.36,0.23,5.85
1.95,5.27,0.04,5.61
